participant_alias,fold,support_seed,condition,shots,query_clip_count,query_positive_count,query_negative_count,adaptation_recipe,precision,recall,false_positive_rate,f1,tp,tn,fp,fn
P012,0,20260622,0,5,28,8,20,no_adaptation_zero_shot_fallback,0.7272727272727273,1.0,0.15,0.8421052631578948,8,17,3,0
P012,0,20260622,5,5,28,8,20,no_adaptation_zero_shot_fallback,0.7272727272727273,1.0,0.15,0.8421052631578948,8,17,3,0
P012,0,20260623,0,5,28,8,20,no_adaptation_zero_shot_fallback,0.7,0.875,0.15,0.7777777777777777,7,17,3,1
P012,0,20260623,5,5,28,8,20,no_adaptation_zero_shot_fallback,0.7,0.875,0.15,0.7777777777777777,7,17,3,1
P012,0,20260624,0,5,28,8,20,no_adaptation_zero_shot_fallback,0.7,0.875,0.15,0.7777777777777777,7,17,3,1
P012,0,20260624,5,5,28,8,20,no_adaptation_zero_shot_fallback,0.7,0.875,0.15,0.7777777777777777,7,17,3,1
P013,4,20260620,0,3,24,9,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,9,15,0,0
P013,4,20260620,3,3,24,9,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,9,15,0,0
P013,4,20260621,0,3,24,9,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,9,15,0,0
P013,4,20260621,3,3,24,9,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,9,15,0,0
P013,4,20260622,0,3,24,9,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,9,15,0,0
P013,4,20260622,3,3,24,9,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,9,15,0,0
P013,4,20260623,0,3,24,9,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,9,15,0,0
P013,4,20260623,3,3,24,9,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,9,15,0,0
P013,4,20260624,0,3,24,9,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,9,15,0,0
P013,4,20260624,3,3,24,9,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,9,15,0,0
P013,4,20260620,0,5,22,7,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,7,15,0,0
P013,4,20260620,5,5,22,7,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,7,15,0,0
P013,4,20260621,0,5,22,7,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,7,15,0,0
