change_label,changed_stage,delta_f1,delta_fpr,delta_recall,doctor_alias,f1,final_false_accepts,fpr,fpr_unstable,method,negative_query_count,positive_query_count,precision,recall,safety_pass,shot,stage1_misses,stage2_rejects,support_seed,zero_f1,zero_fpr,zero_precision,zero_recall
unchanged,stage1+stage2,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage1_stage2_combined,30,19,1.0,0.5263157894736842,True,5,2,7,20260622,0.6896551724137931,0.0,1.0,0.5263157894736842
improved,stage2,0.12284482758620696,0.0,0.1578947368421053,D001,0.8125000000000001,0,0.0,False,stage2_cosine_prototype,30,19,1.0,0.6842105263157895,True,5,2,7,20260622,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage2,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage2_finetune_bias_only,30,19,1.0,0.5263157894736842,True,5,2,7,20260622,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage2,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage2_finetune_head,30,19,1.0,0.5263157894736842,True,5,2,7,20260622,0.6896551724137931,0.0,1.0,0.5263157894736842
improved,stage2,0.12284482758620696,0.0,0.1578947368421053,D001,0.8125000000000001,0,0.0,False,stage2_positive_bias,30,19,1.0,0.6842105263157895,True,5,2,7,20260622,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,none,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,zero_shot,30,19,1.0,0.5263157894736842,True,5,2,7,20260622,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage1,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage1_finetune_bias_only,30,19,1.0,0.5263157894736842,True,5,2,7,20260623,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage1,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage1_finetune_head,30,19,1.0,0.5263157894736842,True,5,2,7,20260623,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage1+stage2,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage1_stage2_combined,30,19,1.0,0.5263157894736842,True,5,2,7,20260623,0.6896551724137931,0.0,1.0,0.5263157894736842
improved,stage2,0.12284482758620696,0.0,0.1578947368421053,D001,0.8125000000000001,0,0.0,False,stage2_cosine_prototype,30,19,1.0,0.6842105263157895,True,5,2,7,20260623,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage2,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage2_finetune_bias_only,30,19,1.0,0.5263157894736842,True,5,2,7,20260623,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage2,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage2_finetune_head,30,19,1.0,0.5263157894736842,True,5,2,7,20260623,0.6896551724137931,0.0,1.0,0.5263157894736842
improved,stage2,0.0845383759733036,0.0,0.10526315789473684,D001,0.7741935483870968,0,0.0,False,stage2_positive_bias,30,19,1.0,0.631578947368421,True,5,2,7,20260623,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,none,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,zero_shot,30,19,1.0,0.5263157894736842,True,5,2,7,20260623,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage1,0.0,0.0,0.0,D001,0.6428571428571429,0,0.0,False,stage1_finetune_bias_only,30,19,1.0,0.47368421052631576,True,5,2,8,20260624,0.6428571428571429,0.0,1.0,0.47368421052631576
unchanged,stage1,0.0,0.0,0.0,D001,0.6428571428571429,0,0.0,False,stage1_finetune_head,30,19,1.0,0.47368421052631576,True,5,2,8,20260624,0.6428571428571429,0.0,1.0,0.47368421052631576
unchanged,stage1+stage2,0.0,0.0,0.0,D001,0.6428571428571429,0,0.0,False,stage1_stage2_combined,30,19,1.0,0.47368421052631576,True,5,2,8,20260624,0.6428571428571429,0.0,1.0,0.47368421052631576
improved,stage2,0.2056277056277055,0.0,0.2631578947368421,D001,0.8484848484848484,0,0.0,False,stage2_cosine_prototype,30,19,1.0,0.7368421052631579,True,5,2,8,20260624,0.6428571428571429,0.0,1.0,0.47368421052631576
unchanged,stage2,0.0,0.0,0.0,D001,0.6428571428571429,0,0.0,False,stage2_finetune_bias_only,30,19,1.0,0.47368421052631576,True,5,2,8,20260624,0.6428571428571429,0.0,1.0,0.47368421052631576
unchanged,stage2,0.0,0.0,0.0,D001,0.6428571428571429,0,0.0,False,stage2_finetune_head,30,19,1.0,0.47368421052631576,True,5,2,8,20260624,0.6428571428571429,0.0,1.0,0.47368421052631576
improved,stage2,0.2056277056277055,0.0,0.2631578947368421,D001,0.8484848484848484,0,0.0,False,stage2_positive_bias,30,19,1.0,0.7368421052631579,True,5,2,8,20260624,0.6428571428571429,0.0,1.0,0.47368421052631576
unchanged,none,0.0,0.0,0.0,D001,0.6428571428571429,0,0.0,False,zero_shot,30,19,1.0,0.47368421052631576,True,5,2,8,20260624,0.6428571428571429,0.0,1.0,0.47368421052631576
unchanged,stage1,0.0,0.0,0.0,D003,,0,0.0,True,stage1_finetune_bias_only,3,2,,0.0,True,3,2,0,20260620,,0.0,,0.0
unchanged,stage1,0.0,0.0,0.0,D003,,0,0.0,True,stage1_finetune_head,3,2,,0.0,True,3,2,0,20260620,,0.0,,0.0
unchanged,stage1+stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage1_stage2_combined,3,2,,0.0,True,3,2,0,20260620,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_cosine_prototype,3,2,,0.0,True,3,2,0,20260620,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_finetune_bias_only,3,2,,0.0,True,3,2,0,20260620,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_finetune_head,3,2,,0.0,True,3,2,0,20260620,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_positive_bias,3,2,,0.0,True,3,2,0,20260620,,0.0,,0.0
unchanged,none,0.0,0.0,0.0,D003,,0,0.0,True,zero_shot,3,2,,0.0,True,3,2,0,20260620,,0.0,,0.0
unchanged,stage1,0.0,0.0,0.0,D003,,0,0.0,True,stage1_finetune_bias_only,3,2,,0.0,True,3,2,0,20260621,,0.0,,0.0
unchanged,stage1,0.0,0.0,0.0,D003,,0,0.0,True,stage1_finetune_head,3,2,,0.0,True,3,2,0,20260621,,0.0,,0.0
unchanged,stage1+stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage1_stage2_combined,3,2,,0.0,True,3,2,0,20260621,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_cosine_prototype,3,2,,0.0,True,3,2,0,20260621,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_finetune_bias_only,3,2,,0.0,True,3,2,0,20260621,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_finetune_head,3,2,,0.0,True,3,2,0,20260621,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_positive_bias,3,2,,0.0,True,3,2,0,20260621,,0.0,,0.0
unchanged,none,0.0,0.0,0.0,D003,,0,0.0,True,zero_shot,3,2,,0.0,True,3,2,0,20260621,,0.0,,0.0
unchanged,stage1,0.0,0.0,0.0,D003,,0,0.0,True,stage1_finetune_bias_only,3,2,,0.0,True,3,2,0,20260622,,0.0,,0.0
unchanged,stage1,0.0,0.0,0.0,D003,,0,0.0,True,stage1_finetune_head,3,2,,0.0,True,3,2,0,20260622,,0.0,,0.0
unchanged,stage1+stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage1_stage2_combined,3,2,,0.0,True,3,2,0,20260622,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_cosine_prototype,3,2,,0.0,True,3,2,0,20260622,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_finetune_bias_only,3,2,,0.0,True,3,2,0,20260622,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_finetune_head,3,2,,0.0,True,3,2,0,20260622,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_positive_bias,3,2,,0.0,True,3,2,0,20260622,,0.0,,0.0
