dev_f1,dev_false_positive_rate,dev_precision,dev_recall,fusion_a,fusion_b,method,safe_allowed,safe_preferred,test_f1,test_false_positive_rate,test_precision,test_recall,top_k,use_fusion_logit,variant
0.9507969507969508,0.005253940455341506,0.9956458635703919,0.9098143236074271,2.0,0.25,stage1_stage2_logit_fusion,True,True,0.9429978888106967,0.011627906976744186,0.9896602658788775,0.9005376344086021,8,True,stage2_bce
0.9515235457063712,0.005253940455341506,0.9956521739130435,0.9111405835543767,2.0,0.5,stage1_stage2_logit_fusion,True,True,0.9429978888106967,0.011627906976744186,0.9896602658788775,0.9005376344086021,8,True,stage2_bce
0.9501385041551247,0.0070052539404553416,0.9942028985507246,0.9098143236074271,2.0,1.0,stage1_stage2_logit_fusion,True,True,0.9430780042164442,0.013289036544850499,0.9882179675994109,0.9018817204301075,8,True,stage2_bce
0.9748470428280082,0.0,1.0,0.9509283819628647,1.0,0.0,threshold_only,True,True,0.9675190048375951,0.0049833887043189366,0.9957325746799431,0.9408602150537635,1,False,stage2_bce_supcon
0.9748470428280082,0.0,1.0,0.9509283819628647,1.0,0.0,threshold_only,True,True,0.9675190048375951,0.0049833887043189366,0.9957325746799431,0.9408602150537635,3,False,stage2_bce_supcon
0.9748470428280082,0.0,1.0,0.9509283819628647,1.0,0.0,threshold_only,True,True,0.9675190048375951,0.0049833887043189366,0.9957325746799431,0.9408602150537635,5,False,stage2_bce_supcon
0.9748470428280082,0.0,1.0,0.9509283819628647,1.0,0.0,threshold_only,True,True,0.9675190048375951,0.0049833887043189366,0.9957325746799431,0.9408602150537635,8,False,stage2_bce_supcon
0.9748470428280082,0.0,1.0,0.9509283819628647,0.5,0.0,stage1_stage2_logit_fusion,True,True,0.9675190048375951,0.0049833887043189366,0.9957325746799431,0.9408602150537635,3,True,stage2_bce_supcon
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,0.5,0.25,stage1_stage2_logit_fusion,True,True,0.9519163763066202,0.013289036544850499,0.9884225759768451,0.918010752688172,3,True,stage2_bce_supcon
0.9573002754820935,0.005253940455341506,0.995702005730659,0.9217506631299734,0.5,0.5,stage1_stage2_logit_fusion,True,True,0.9416725228390724,0.014950166112956811,0.9867452135493373,0.9005376344086021,3,True,stage2_bce_supcon
